timestamp,active,P,T,Cs
1745930482975,0,0.200,10,5
1745930483986,0,0.200,10,5
1745930484985,0,0.200,10,5
1745930485980,0,0.200,10,5
1745930486976,0,0.200,10,5
1745930487974,0,0.200,10,5
1745930488989,0,0.200,10,5
1745930489983,0,0.200,10,5
1745930490977,0,0.200,10,5
1745930491987,0,0.200,10,5
1745930492981,0,0.200,10,5
1745930493976,0,0.200,10,5
1745930494987,0,0.200,10,5
1745930495979,0,0.200,10,5
1745930496987,0,0.200,10,5
1745930497976,0,0.200,10,5
1745930498987,0,0.200,10,5
1745930499985,0,0.200,10,5
1745930500980,0,0.200,10,5
1745930501977,0,0.200,10,5
1745930502988,0,0.200,10,5
1745930503982,0,0.200,10,5
1745930504981,0,0.200,10,5
1745930505976,0,0.200,10,5
1745930506975,0,0.200,10,5
1745930507990,0,0.200,10,5
1745930508982,0,0.200,10,5
1745930509983,0,0.200,10,5
1745930510976,0,0.200,10,5
1745930511988,0,0.200,10,5
1745930512983,0,0.200,10,5
1745930513981,0,0.200,10,5
1745930514980,0,0.200,10,5
1745930515976,0,0.200,10,5
1745930516988,0,0.200,10,5
1745930517982,0,0.200,10,5
1745930518978,0,0.200,10,5
1745930519988,0,0.200,10,5
1745930520987,0,0.200,10,5
1745930521983,0,0.200,10,5
1745930522980,0,0.200,10,5
1745930523976,0,0.200,10,5
1745930524975,0,0.200,10,5
1745930525984,0,0.200,10,5
1745930526981,0,0.200,10,5
